,Acc@1,Acc@5,model,mode,init_fn,constraint_fn,s_iter,w_bits,a_bits,joint_training
0,74.8,92.01,ResNet50-i4sc,reconstruction,tanh,sigmoid,2500,4,4,True
0,56.636,82.022,ResNet50-i2sc,reconstruction,tanh,sigmoid,2500,2,2,True
