,Acc@1,Acc@5,model,mode,init_fn,constraint_fn,s_iter,w_bits,a_bits,joint_training
0,76.326,93.206,RegNetX-3.2GF-i4sc,reconstruction,tanh,sigmoid,2500,4,4,True
0,51.678,78.8,RegNetX-3.2GF-i2sc,reconstruction,tanh,sigmoid,2500,2,2,True
