,Acc@1,Acc@5,model,mode,init_fn,constraint_fn,s_iter,w_bits,a_bits,joint_training
0,94.19,99.83,RegNetX-400MF-i4sc,reconstruction,tanh,sigmoid,2500,4,4,True
0,86.53,99.41,RegNetX-400MF-i2sc,reconstruction,tanh,sigmoid,2500,2,2,True
