,Acc@1,Acc@5,model,mode,init_fn,constraint_fn,s_iter,w_bits,a_bits,joint_training
0,68.984,88.71,ResNet18-i4sc,reconstruction,tanh,sigmoid,2500,4,4,True
0,52.18,77.886,ResNet18-i2sc,reconstruction,tanh,sigmoid,2500,2,2,True
