,Acc@1,Acc@5,model,mode,init_fn,constraint_fn,s_iter,w_bits,a_bits,joint_training
0,70.58,89.756,RegNetX-600MF-i4sc,reconstruction,tanh,sigmoid,2500,4,4,True
0,38.864,66.654,RegNetX-600MF-i2sc,reconstruction,tanh,sigmoid,2500,2,2,True
