,Acc@1,Acc@5,model,mode,weight_path,init_fn,constraint_fn,s_iter,w_bits,a_bits,joint_training
0,68.854,88.762,ResNet18-i4sc,evaluate,checkpoints/ResNet18/joint_training/ResNet18-i4sc-joint_false_s2500.pth,tanh,sigmoid,,4,4,False
0,40.856,68.194,ResNet18-i2sc,evaluate,checkpoints/ResNet18/joint_training/ResNet18-i2sc-joint_false_s2500.pth,tanh,sigmoid,,2,2,True
