,Acc@1,Acc@5,model,mode,init_fn,constraint_fn,s_iter,w_bits,a_bits,joint_training
0,68.852,88.876,ResNet18-i4sc,reconstruction,tanh,sigmoid,2500,4,4,False
0,68.854,88.762,ResNet18-i4sc,reconstruction,tanh,sigmoid,2500,4,4,False
0,40.856,68.194,ResNet18-i2sc,reconstruction,tanh,sigmoid,2500,2,2,False
