,Acc@1,Acc@5,model,mode,weight_path,init_fn,constraint_fn,s_iter,w_bits,a_bits,joint_training
0,68.984,88.71,ResNet18-i4sc,evaluate,checkpoints/imagenet/ResNet18/ResNet18-i4sc.pth,tanh,sigmoid,2500,4,4,True
0,74.8,92.01,ResNet50-i4sc,evaluate,checkpoints/imagenet/ResNet50/ResNet50-i4sc.pth,tanh,sigmoid,2500,4,4,True
0,67.054,87.44,MobileNetV2-i4sc,evaluate,checkpoints/imagenet/MobileNetV2/MobileNetV2-i4sc.pth,tanh,sigmoid,2500,4,4,True
0,70.58,89.756,RegNetX-600MF-i4sc,evaluate,checkpoints/imagenet/RegNetX-600MF/RegNetX-600MF-i4sc.pth,tanh,sigmoid,2500,4,4,True
0,76.326,93.206,RegNetX-3.2GF-i4sc,evaluate,checkpoints/imagenet/RegNetX-3.2GF/RegNetX-3.2GF-i4sc.pth,tanh,sigmoid,2500,4,4,True
