,Acc@1,Acc@5,model,mode,init_fn,constraint_fn,s_iter,w_bits,a_bits,joint_training
0,91.12,99.65,MobileNetV2-i4sc,reconstruction,tanh,sigmoid,2500,4,4,True
0,80.36,98.97,MobileNetV2-i2sc,reconstruction,tanh,sigmoid,2500,2,2,True
